,NIS,Woonplaats,Mannen,Vrouwen,inhabitants
194,25123,Rebecq,5418.0,5516.0,10934.0
195,25124,Walhain,3663.0,3696.0,7359.0
196,30000,Provincie West-Vlaanderen,595359.0,605586.0,1200945.0
197,31000,Arrondissement Brugge,139169.0,143576.0,282745.0
198,31003,Beernem,8040.0,7777.0,15817.0
199,31004,Blankenberge,10106.0,10357.0,20463.0
200,31005,Brugge,57851.0,60805.0,118656.0
201,31006,Damme,5493.0,5526.0,11019.0
202,31012,Jabbeke,6894.0,6974.0,13868.0
203,31022,Oostkamp,11822.0,11983.0,23805.0
204,31033,Torhout,10248.0,10219.0,20467.0
205,31040,Zedelgem,11418.0,11434.0,22852.0
206,31042,Zuienkerke,1366.0,1343.0,2709.0
207,31043,Knokke-Heist,15931.0,17158.0,33089.0
208,32000,Arrondissement Diksmuide,25843.0,25853.0,51696.0
209,32003,Diksmuide,8416.0,8427.0,16843.0
210,32006,Houthulst,5067.0,5043.0,10110.0
211,32010,Koekelare,4363.0,4397.0,8760.0
212,32011,Kortemark,6343.0,6350.0,12693.0
213,32030,Lo-Reninge,1654.0,1636.0,3290.0
214,33000,Arrondissement Ieper,53235.0,53335.0,106570.0
215,33011,Ieper,17218.0,17777.0,34995.0
216,33016,Mesen,520.0,527.0,1047.0
217,33021,Poperinge,9786.0,9931.0,19717.0
218,33029,Wervik,9495.0,9414.0,18909.0
219,33037,Zonnebeke,6287.0,6211.0,12498.0
220,33039,Heuvelland,4075.0,3851.0,7926.0
221,33040,Langemark-Poelkapelle,3991.0,3834.0,7825.0
222,33041,Vleteren,1863.0,1790.0,3653.0
223,34000,Arrondissement Kortrijk,144761.0,147732.0,292493.0
224,34002,Anzegem,7426.0,7355.0,14781.0
225,34003,Avelgem,5035.0,5171.0,10206.0
226,34009,Deerlijk,5955.0,6123.0,12078.0
227,34013,Harelbeke,14281.0,14221.0,28502.0
228,34022,Kortrijk,38035.0,39074.0,77109.0
229,34023,Kuurne,6744.0,6932.0,13676.0
230,34025,Lendelede,2867.0,2920.0,5787.0
231,34027,Menen,16604.0,16936.0,33540.0
232,34040,Waregem,18897.0,19453.0,38350.0
233,34041,Wevelgem,15593.0,15986.0,31579.0
234,34042,Zwevegem,12320.0,12494.0,24814.0
235,34043,Spiere-Helkijn,1004.0,1067.0,2071.0
236,35000,Arrondissement Oostende,77908.0,79872.0,157780.0
