date,age,dose,VOC,e_s,e_i,e_h
2021-01-11,"[55, 65)",partial,delta,0.3898981072742474,0.18754592501799242,0.1223657622996905
2021-01-11,"[55, 65)",partial,omicron,0.02467709539710427,0.10857921974725877,0.30878006548171505
2021-01-11,"[55, 65)",full,WT,0.87,0.62,0.5384615384615381
2021-01-11,"[55, 65)",full,abc,0.87,0.62,0.5384615384615381
2021-01-11,"[55, 65)",full,delta,0.79,0.38,0.714285714285714
2021-01-11,"[55, 65)",full,omicron,0.05,0.22,0.6421052631578947
2021-01-11,"[55, 65)",boosted,WT,0.87,0.62,0.5384615384615381
2021-01-11,"[55, 65)",boosted,abc,0.87,0.62,0.5384615384615381
2021-01-11,"[55, 65)",boosted,delta,0.8,0.34,0.6999999999999997
2021-01-11,"[55, 65)",boosted,omicron,0.45,0.34,0.7636363636363637
2021-01-11,"[65, 75)",partial,WT,0.4269117620734553,0.3042359683741866,0.06079508360317732
2021-01-11,"[65, 75)",partial,abc,0.4269117620734553,0.3042359683741866,0.06079508360317732
2021-01-11,"[65, 75)",partial,delta,0.38765550808968935,0.18646720642288855,0.121661944164564
2021-01-11,"[65, 75)",partial,omicron,0.024535158739853756,0.10795469845535652,0.30700403756534966
2021-01-11,"[65, 75)",full,WT,0.8676794359465329,0.6180316610187486,0.537844962263653
2021-01-11,"[65, 75)",full,abc,0.8676794359465329,0.6180316610187486,0.537844962263653
2021-01-11,"[65, 75)",full,delta,0.7873932537807705,0.3786213017571399,0.7130642416659725
2021-01-11,"[65, 75)",full,omicron,0.049607572737856105,0.21913904051048916,0.6399848632845999
2021-01-11,"[65, 75)",boosted,WT,0.87,0.62,0.5384615384615381
2021-01-11,"[65, 75)",boosted,abc,0.87,0.62,0.5384615384615381
2021-01-11,"[65, 75)",boosted,delta,0.8,0.34,0.6999999999999997
2021-01-11,"[65, 75)",boosted,omicron,0.45,0.34,0.7636363636363637
2021-01-11,"[75, 85)",partial,WT,0.42418609730595946,0.30229354060884467,0.060406930752552344
2021-01-11,"[75, 85)",partial,abc,0.42418609730595946,0.30229354060884467,0.060406930752552344
2021-01-11,"[75, 85)",partial,delta,0.3851804791628827,0.18527668617961449,0.12088518019548565
2021-01-11,"[75, 85)",partial,omicron,0.02437851133942296,0.10726544989346103,0.30504393675995917
2021-01-11,"[75, 85)",full,WT,0.8678815271103483,0.6182030779270257,0.5378986580886941
2021-01-11,"[75, 85)",full,abc,0.8678815271103483,0.6182030779270257,0.5378986580886941
2021-01-11,"[75, 85)",full,delta,0.7876202677157784,0.3787413685710827,0.7131706161583824
2021-01-11,"[75, 85)",full,omicron,0.049641748085009776,0.21921401896453063,0.640169522733025
2021-01-11,"[75, 85)",boosted,WT,0.87,0.62,0.5384615384615381
