date,age,dose,CUMULATIVE,INCIDENCE
2021-03-29,"[0, 12)",A,0.0,0.0
2021-03-29,"[0, 12)",B,0.0,0.0
2021-03-29,"[0, 12)",C,0.0,0.0
2021-03-29,"[0, 12)",E,0.0,0.0
2021-03-29,"[12, 18)",A,1398.0,93.0
2021-03-29,"[12, 18)",B,958.0,94.0
2021-03-29,"[12, 18)",C,0.0,0.0
2021-03-29,"[12, 18)",E,0.0,0.0
2021-03-29,"[18, 25)",A,68015.0,3154.0
2021-03-29,"[18, 25)",B,34587.0,2423.0
2021-03-29,"[18, 25)",C,0.0,11.0
2021-03-29,"[18, 25)",E,0.0,0.0
2021-03-29,"[25, 35)",A,159139.0,5993.0
2021-03-29,"[25, 35)",B,81823.0,4886.0
2021-03-29,"[25, 35)",C,33.0,34.0
2021-03-29,"[25, 35)",E,0.0,0.0
2021-03-29,"[35, 45)",A,162992.0,6948.0
2021-03-29,"[35, 45)",B,83771.0,4795.0
2021-03-29,"[35, 45)",C,95.0,20.0
2021-03-29,"[35, 45)",E,0.0,0.0
